time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
484000000,35276415,35434496,24379392,28049408,4966912,6111105
486000000,35266738,35364864,23068672,29360128,5119488,6037838
488000000,35328616,35425280,23068672,29360128,5127680,5907352
490000000,35388982,35469312,22544384,29884416,5158912,5771722
492000000,35493540,35533312,21233664,31195136,5166592,5595484
494000000,35682017,35761664,21495808,30932992,5007360,5337887
496000000,35783575,35822080,20971520,31457280,5012480,5170793
498000000,35854384,35927552,21233664,31195136,4981248,5025744
500000000,35910668,35979264,21495808,30932992,4997120,4901876
502000000,35968019,36040192,21495808,30932992,5000192,4780525
504000000,36143991,36193792,20447232,31981568,4911104,4540041
506000000,36206801,36242432,21233664,31195136,4923904,4415791
508000000,36248127,36275200,21233664,31195136,4948480,4317121
510000000,36228082,36237824,22282240,30146560,5047296,4275726
512000000,36148156,36224512,21757952,30670848,5144576,4271684
514000000,36043719,36057600,22020096,30408704,5381632,4305977
516000000,36092604,36070912,21757952,30670848,5434368,4191044
518000000,36105802,36087296,21757952,30670848,5492224,4103606
520000000,36156290,36093440,21233664,31195136,5542912,3996286
522000000,36221831,36122112,20971520,31457280,5573120,3871865
524000000,36328607,36234240,19660800,32768000,5511680,3714401
526000000,36494810,36391936,19398656,33030144,5404160,3498022
528000000,36746866,36669440,18874368,33554432,5174272,3198350
530000000,37001693,36907520,18350080,34078720,4975104,2904611
532000000,37120797,37033472,18874368,33554432,4879360,2755299
534000000,37183492,37058560,19398656,33030144,4883968,2662908
536000000,37233404,37161472,19660800,32768000,4819456,2574596
538000000,37143756,37095936,20709376,31719424,4935680,2613556
540000000,36926965,36864000,21233664,31195136,5232128,2765835
542000000,36798941,36677632,21757952,30670848,5479424,2832931
544000000,36517832,36418048,22282240,30146560,5807104,3045944
546000000,36374793,36269568,22544384,29884416,6010368,3134199
548000000,36248188,36113920,22806528,29622272,6223360,3203460
550000000,36035590,35904000,22806528,29622272,6492160,3357178
552000000,36036924,35889152,21495808,30932992,6553600,3309252
554000000,36099621,35938816,21495808,30932992,6553600,3196891
556000000,36163088,36015616,20709376,31719424,6526976,3083248
558000000,36225968,36064256,21495808,30932992,6523392,2975312
560000000,36140243,35979776,22544384,29884416,6652416,3016493
562000000,36013836,35833344,22282240,30146560,6843904,3097844
