time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
574000000,34261018,33820160,25952256,17825792,15387136,6971366
576000000,34214183,33775104,26214400,17563648,15522816,6927577
578000000,34130955,33709568,26214400,17563648,15680000,6919157
580000000,34130395,33719296,24903680,18874368,15750656,6839333
582000000,34191970,33830912,25690112,18087936,15710208,6706590
584000000,34236291,33920000,24903680,18874368,15692800,6590589
586000000,34300559,33937408,25427968,18350080,15763968,6437745
588000000,34325822,33951744,25165824,18612224,15822848,6339266
590000000,34340715,33930752,25690112,18087936,15906816,6261397
592000000,34279956,33911808,26214400,17563648,16012288,6235628
594000000,34242540,33872896,25690112,18087936,16126976,6197268
596000000,34391158,34043392,24379392,19398656,16018944,5986186
598000000,34470250,34151424,24641536,19136512,15969792,5848214
600000000,34595477,34281984,23592960,20185088,15888384,5673835
602000000,34725533,34408960,24117248,19660800,15818240,5486947
604000000,34806856,34457088,23330816,20447232,15822848,5352888
606000000,34874652,34510848,23592960,20185088,15817216,5236964
608000000,34994466,34662400,23592960,20185088,15718912,5063902
610000000,35055957,34783744,23592960,20185088,15648768,4951211
612000000,35118756,34895872,23068672,20709376,15594496,4830556
614000000,35182654,35001856,22806528,20971520,15540736,4714434
616000000,35245839,35099648,23330816,20447232,15487488,4606705
618000000,35308446,35108352,23330816,20447232,15523328,4499554
620000000,35350512,35142144,23330816,20447232,15538176,4408848
622000000,35241659,34996224,23855104,19922944,15741440,4460357
624000000,35192122,34890240,23855104,19922944,15901184,4456134
626000000,35204812,34954752,23330816,20447232,15890944,4389172
628000000,35267647,35012608,22806528,20971520,15883264,4276161
630000000,35471807,35202048,21757952,22020096,15728640,4037185
632000000,35601327,35338240,22282240,21495808,15630848,3869265
634000000,35670079,35366400,21495808,22282240,15641088,3762113
636000000,35837810,35496960,21495808,22282240,15538176,3566734
638000000,35984559,35659264,20447232,23330816,15399936,3395921
640000000,36221448,35883520,20709376,23068672,15198208,3136504
642000000,36303241,35954688,21233664,22544384,15154176,3027575
644000000,36369581,35962880,20709376,23330816,14903296,2941779
646000000,36409125,36008448,22020096,22020096,14886400,2873563
648000000,36282770,35870720,22020096,22020096,15068160,2955886
650000000,36289269,35908096,21495808,22544384,15066112,2914059
652000000,36216267,35877376,22020096,22020096,15137280,2946613
654000000,36176991,35850240,22282240,21757952,15197696,2952609
656000000,36215226,35872768,20971520,23068672,15206912,2882630
658000000,36251089,35941376,21757952,22282240,15167488,2817583
660000000,36110176,35715584,22806528,21233664,15429120,2922656
662000000,36020784,35563008,22282240,21757952,15616512,2977232
664000000,36082883,35661824,21757952,22282240,15547392,2885437
666000000,36145376,35697152,21757952,22282240,15542784,2792224
668000000,36203059,35836928,21233664,23068672,15173632,2701773
670000000,36250479,35930624,22020096,22282240,15104000,2630289
672000000,36216679,35876352,20971520,23330816,15187456,2634905
674000000,36392974,36078080,20185088,24117248,15000064,2444274
676000000,36525674,36234752,20185088,24117248,14865920,2289046
678000000,36588216,36363264,20447232,23855104,14759424,2204488
680000000,36645493,36400640,19922944,24379392,14752256,2117003
682000000,36763159,36553728,19136512,25165824,14625792,1972713
684000000,36863988,36678656,19398656,24903680,14516736,1856012
686000000,36926768,36791296,19398656,24903680,14422528,1774800
688000000,36958376,36838912,19660800,24641536,14394880,1723224
690000000,37020866,36888064,19660800,24641536,14363136,1643326
692000000,36982791,36787712,20971520,23330816,14482432,1662457
694000000,36870501,36596736,20709376,23592960,14693376,1754779
696000000,36916530,36665856,19136512,25165824,14638080,1694926
698000000,36988517,36746240,19660800,24641536,14568448,1612187
700000000,37058620,36808192,18612224,25690112,14525952,1522628
702000000,37196502,37006336,18874368,25427968,14336512,1376042
704000000,37259629,37082112,18612224,25690112,14264832,1308819
706000000,37324693,37114368,18350080,25952256,14241280,1235051
708000000,37387356,37172736,18087936,26214400,14192128,1163172
710000000,37560524,37375488,17563648,26738688,13992960,986420
712000000,37777216,37539840,17301504,27000832,13826048,772288
714000000,37956922,37711872,16777216,27525120,13644288,602310
716000000,38075699,37837824,17039360,27262976,13499392,502477
718000000,38189258,37914112,16515072,27787264,13387264,424758
720000000,38253114,37905408,16777216,27525120,13357056,399814
722000000,38315602,37918720,17301504,27262976,13041152,377774
724000000,38379359,37979648,16777216,27787264,12930560,363681
726000000,38442973,38072832,17301504,27262976,12788736,348707
728000000,38451406,38021632,17563648,27000832,12810752,369458
730000000,38314094,37835264,19136512,25690112,12744704,497042
732000000,38203808,37724160,18874368,25952256,12863488,599648
734000000,38077738,37626880,18874368,25952256,12967936,718550
736000000,37951464,37494784,19398656,25427968,13109760,835096
738000000,37801493,37315072,20447232,24641536,13037568,974827
740000000,37618606,37113856,19922944,25427968,12984320,1150034
742000000,37560691,37053952,18350080,27000832,13051392,1200781
744000000,37620556,37081088,18350080,27262976,12773376,1129652
746000000,37761014,37225984,17563648,28573696,12111360,982026
748000000,37864762,37297152,17301504,28835840,12047872,870598
750000000,37937570,37357568,17825792,28311552,11984384,800862
752000000,38000327,37416960,18087936,28049408,11926528,736569
754000000,38066091,37514240,18087936,28049408,11830272,669781
756000000,38034333,37481472,18612224,27525120,11859456,705123
